property_id,check_in_date,room_category,successful_bookings,capacity,occcupancy,room_class,property_name,category,city,mmm yy,week no,day_type
16559,2022-05-01,RT1,25,30,83.33,Standard,Atliq Exotica,Luxury,Delhi,May 22,W 19,weekend
16559,2022-05-01,RT2,35,41,85.37,Elite,Atliq Exotica,Luxury,Delhi,May 22,W 19,weekend
16559,2022-05-01,RT3,27,32,84.38,Premium,Atliq Exotica,Luxury,Delhi,May 22,W 19,weekend
16559,2022-05-01,RT4,17,18,94.44,Presidential,Atliq Exotica,Luxury,Delhi,May 22,W 19,weekend
19562,2022-05-01,RT1,28,30,93.33,Standard,Atliq Bay,Luxury,Bangalore,May 22,W 19,weekend
19562,2022-05-01,RT2,23,23,100.0,Elite,Atliq Bay,Luxury,Bangalore,May 22,W 19,weekend
19562,2022-05-01,RT3,25,29,86.21,Premium,Atliq Bay,Luxury,Bangalore,May 22,W 19,weekend
19562,2022-05-01,RT4,13,14,92.86,Presidential,Atliq Bay,Luxury,Bangalore,May 22,W 19,weekend
19563,2022-05-01,RT1,23,30,76.67,Standard,Atliq Palace,Business,Bangalore,May 22,W 19,weekend
19563,2022-05-01,RT2,36,45,80.0,Elite,Atliq Palace,Business,Bangalore,May 22,W 19,weekend
19563,2022-05-01,RT3,20,29,68.97,Premium,Atliq Palace,Business,Bangalore,May 22,W 19,weekend
19563,2022-05-01,RT4,4,6,66.67,Presidential,Atliq Palace,Business,Bangalore,May 22,W 19,weekend
17558,2022-05-01,RT1,13,19,68.42,Standard,Atliq Grands,Luxury,Mumbai,May 22,W 19,weekend
17558,2022-05-01,RT2,38,50,76.0,Elite,Atliq Grands,Luxury,Mumbai,May 22,W 19,weekend
17558,2022-05-01,RT3,21,27,77.78,Premium,Atliq Grands,Luxury,Mumbai,May 22,W 19,weekend
17558,2022-05-01,RT4,4,6,66.67,Presidential,Atliq Grands,Luxury,Mumbai,May 22,W 19,weekend
16558,2022-05-01,RT1,18,19,94.74,Standard,Atliq Grands,Luxury,Delhi,May 22,W 19,weekend
16558,2022-05-01,RT2,21,22,95.45,Elite,Atliq Grands,Luxury,Delhi,May 22,W 19,weekend
16558,2022-05-01,RT3,8,8,100.0,Premium,Atliq Grands,Luxury,Delhi,May 22,W 19,weekend
16558,2022-05-01,RT4,3,3,100.0,Presidential,Atliq Grands,Luxury,Delhi,May 22,W 19,weekend
17560,2022-05-01,RT1,28,40,70.0,Standard,Atliq City,Business,Mumbai,May 22,W 19,weekend
17560,2022-05-01,RT2,31,45,68.89,Elite,Atliq City,Business,Mumbai,May 22,W 19,weekend
17560,2022-05-01,RT3,19,25,76.0,Premium,Atliq City,Business,Mumbai,May 22,W 19,weekend
17560,2022-05-01,RT4,10,13,76.92,Presidential,Atliq City,Business,Mumbai,May 22,W 19,weekend
19558,2022-05-01,RT1,25,40,62.5,Standard,Atliq Grands,Luxury,Bangalore,May 22,W 19,weekend
19558,2022-05-01,RT2,25,39,64.1,Elite,Atliq Grands,Luxury,Bangalore,May 22,W 19,weekend
19558,2022-05-01,RT3,13,21,61.9,Premium,Atliq Grands,Luxury,Bangalore,May 22,W 19,weekend
19558,2022-05-01,RT4,4,7,57.14,Presidential,Atliq Grands,Luxury,Bangalore,May 22,W 19,weekend
19560,2022-05-01,RT1,23,26,88.46,Standard,Atliq City,Business,Bangalore,May 22,W 19,weekend
19560,2022-05-01,RT2,37,38,97.37,Elite,Atliq City,Business,Bangalore,May 22,W 19,weekend
19560,2022-05-01,RT3,16,19,84.21,Premium,Atliq City,Business,Bangalore,May 22,W 19,weekend
19560,2022-05-01,RT4,15,16,93.75,Presidential,Atliq City,Business,Bangalore,May 22,W 19,weekend
17561,2022-05-01,RT1,22,26,84.62,Standard,Atliq Blu,Luxury,Mumbai,May 22,W 19,weekend
17561,2022-05-01,RT2,32,36,88.89,Elite,Atliq Blu,Luxury,Mumbai,May 22,W 19,weekend
17561,2022-05-01,RT3,16,19,84.21,Premium,Atliq Blu,Luxury,Mumbai,May 22,W 19,weekend
17561,2022-05-01,RT4,3,4,75.0,Presidential,Atliq Blu,Luxury,Mumbai,May 22,W 19,weekend
16560,2022-05-01,RT1,24,34,70.59,Standard,Atliq City,Business,Delhi,May 22,W 19,weekend
16560,2022-05-01,RT2,25,34,73.53,Elite,Atliq City,Business,Delhi,May 22,W 19,weekend
16560,2022-05-01,RT3,15,20,75.0,Premium,Atliq City,Business,Delhi,May 22,W 19,weekend
16560,2022-05-01,RT4,6,7,85.71,Presidential,Atliq City,Business,Delhi,May 22,W 19,weekend
16561,2022-05-01,RT1,16,18,88.89,Standard,Atliq Blu,Luxury,Delhi,May 22,W 19,weekend
16561,2022-05-01,RT2,24,24,100.0,Elite,Atliq Blu,Luxury,Delhi,May 22,W 19,weekend
16561,2022-05-01,RT3,21,21,100.0,Premium,Atliq Blu,Luxury,Delhi,May 22,W 19,weekend
